minimum_nights,number_of_reviews,calculated_host_listings_count,neighbourhood_n,room_type_n,price
0.0016012810248198558,0.017488076311605726,0.0,0.05454545454545454,0.5,295
0.0008006405124099279,0.003179650238473768,0.0,0.13636363636363635,0.0,70
0.0008006405124099279,0.0,0.003067484662576687,0.02727272727272727,0.0,58
0.0016012810248198558,0.13831478537360892,0.0,0.02727272727272727,0.5,75
0.0032025620496397116,0.020667726550079493,0.0,0.1409090909090909,0.0,38
0.023218574859887906,0.004769475357710652,0.09202453987730062,0.031818181818181815,0.5,100
0.004803843074459567,0.001589825119236884,0.0,0.12727272727272726,0.5,260
0.0,0.06677265500794913,0.0,0.049999999999999996,0.5,147
0.0,0.0,0.0,0.09090909090909091,0.0,34
0.0,0.0,0.0,0.06818181818181818,0.0,65
0.023218574859887906,0.009538950715421305,0.024539877300613498,0.08636363636363636,0.5,125
0.023218574859887906,0.0,0.19631901840490798,0.3227272727272727,0.5,310
0.0,0.0,0.012269938650306749,0.09545454545454544,0.0,50
0.0,0.006359300476947536,0.0,0.08636363636363636,0.0,79
0.023218574859887906,0.001589825119236884,0.003067484662576687,0.17272727272727273,0.5,329
0.0,0.0,0.003067484662576687,0.36818181818181817,0.0,115
0.0016012810248198558,0.004769475357710652,0.0,0.09545454545454544,0.5,140
0.0016012810248198558,0.151033386327504,0.003067484662576687,0.05909090909090909,0.5,225
0.0,0.0,0.012269938650306749,0.00909090909090909,0.0,149
0.0008006405124099279,0.011128775834658189,0.0,0.3318181818181818,0.0,50
0.023218574859887906,0.0,0.018404907975460124,0.00909090909090909,0.0,88
0.0008006405124099279,0.001589825119236884,0.0,0.16818181818181818,0.5,200
0.010408326661329063,0.006359300476947536,0.0,0.05454545454545454,0.5,160
0.0008006405124099279,0.08108108108108109,0.0,0.02727272727272727,0.5,125
0.0024019215372297837,0.022257551669316377,0.006134969325153375,0.13636363636363635,0.0,75
0.0008006405124099279,0.007949125596184421,0.0,0.37727272727272726,0.0,80
0.0008006405124099279,0.001589825119236884,0.0,0.05909090909090909,0.5,140
0.0008006405124099279,0.02384737678855326,0.0,0.05909090909090909,0.5,134
0.007205764611689351,0.001589825119236884,0.0,0.10909090909090909,0.0,65
0.023218574859887906,0.011128775834658189,0.15644171779141103,0.09090909090909091,0.5,159
0.0008006405124099279,0.025437201907790145,0.0,0.08636363636363636,0.5,300
0.0,0.0,0.0,0.20909090909090908,0.0,95
0.011208967173738989,0.0,0.0,0.022727272727272728,0.0,70
0.0008006405124099279,0.09220985691573927,0.015337423312883437,0.013636363636363636,0.5,248
0.0,0.001589825119236884,0.012269938650306749,0.13636363636363635,0.5,750
0.0008006405124099279,0.004769475357710652,0.0,0.09545454545454544,0.0,90
0.023218574859887906,0.007949125596184421,0.02147239263803681,0.05454545454545454,0.5,80
0.004803843074459567,0.0,0.0,0.13636363636363635,0.5,85
0.0016012810248198558,0.004769475357710652,0.0,0.09999999999999999,0.0,50
0.0008006405124099279,0.006359300476947536,0.0,0.05454545454545454,0.5,295
0.010408326661329063,0.0,0.0,0.10454545454545454,0.0,80
0.0016012810248198558,0.0,0.0,0.08636363636363636,0.0,109
0.0016012810248198558,0.025437201907790145,0.0,0.049999999999999996,0.0,100
0.0008006405124099279,0.04292527821939587,0.0,0.02727272727272727,0.0,45
0.0016012810248198558,0.06041335453100159,0.0,0.22272727272727272,0.5,135
0.0024019215372297837,0.014308426073131956,0.006134969325153375,0.5181818181818182,0.5,115
0.0032025620496397116,0.011128775834658189,0.0,0.12727272727272726,0.0,185
0.0016012810248198558,0.004769475357710652,0.0,0.09090909090909091,0.5,150
0.023218574859887906,0.0,0.7085889570552147,0.11818181818181818,0.5,290
0.0,0.007949125596184421,0.003067484662576687,0.45454545454545453,0.0,80
0.0,0.041335453100158986,0.006134969325153375,0.09545454545454544,0.0,65
0.024019215372297835,0.004769475357710652,0.003067484662576687,0.10909090909090909,0.0,45
0.0,0.20190779014308427,0.0,0.24545454545454545,0.5,80
0.0,0.007949125596184421,0.006134969325153375,0.5636363636363636,0.0,75
0.004803843074459567,0.02384737678855326,0.0,0.00909090909090909,0.0,69
0.0024019215372297837,0.044515103338632754,0.0,0.2545454545454545,0.0,65
0.0024019215372297837,0.0,0.0,0.02727272727272727,0.0,60
0.0016012810248198558,0.004769475357710652,0.0,0.3090909090909091,0.5,195
0.011208967173738989,0.030206677265500796,0.006134969325153375,0.00909090909090909,0.0,69
0.0032025620496397116,0.003179650238473768,0.0,0.22272727272727272,0.5,160
0.0016012810248198558,0.01907790143084261,0.0,0.05454545454545454,0.5,150
0.0,0.0,0.003067484662576687,0.08636363636363636,0.0,250
0.0016012810248198558,0.0,0.0,0.013636363636363636,0.5,90
0.0008006405124099279,0.006359300476947536,0.0,0.004545454545454545,0.5,235
0.0,0.0,0.018404907975460124,0.3227272727272727,0.0,100
0.0,0.0,0.0,0.12727272727272726,0.5,239
0.0,0.0,0.0,0.00909090909090909,0.5,65
0.0016012810248198558,0.030206677265500796,0.0,0.44545454545454544,0.5,115
0.0,0.04769475357710652,0.0,0.8318181818181818,0.5,60
0.004803843074459567,0.001589825119236884,0.0,0.09545454545454544,0.0,60
0.010408326661329063,0.0,0.0,0.08636363636363636,0.0,45
0.0,0.003179650238473768,0.0,0.10454545454545454,0.5,300
0.0032025620496397116,0.014308426073131956,0.003067484662576687,0.1409090909090909,0.0,35
0.0024019215372297837,0.007949125596184421,0.009202453987730062,0.09545454545454544,0.0,69
0.023218574859887906,0.007949125596184421,0.0,0.08636363636363636,0.5,198
0.0032025620496397116,0.004769475357710652,0.0,0.08636363636363636,0.5,100
0.0008006405124099279,0.07472178060413355,0.009202453987730062,0.44999999999999996,0.0,60
0.0,0.0,0.0,0.02727272727272727,0.0,225
0.0008006405124099279,0.030206677265500796,0.009202453987730062,0.24545454545454545,0.5,325
0.0008006405124099279,0.014308426073131956,0.0,0.03636363636363636,0.5,350
0.0,0.0,0.0,0.09090909090909091,0.0,45
0.0040032025620496394,0.003179650238473768,0.0,0.022727272727272728,0.5,200
